ID	TIMESTAMP	DIA	MES	AÑO	ESTADO	Municipio	DE	PF	MIF	MAF	PFF	AFIF	PEF	PMF	PMUF	AMPF	DOF	CIF	PL	MIL	MAL	PFL	AFIFL	PEL	PML	PMUL	AMPL	DOL	CIL	ARL	ARC	CARG	CART	VE	AC	AP	DEL	TOR	DTRA	PRE	FCRU	ELE	TAX	DRO	VEH	VAL
84	1193115610	23	10	2007	27	8	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	0	0	0	0	279	0	0	0	0	0	0	0
85	1193115610	23	10	2007	16	53	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	279	0	1	0	0	0	0	1
86	1193202010	24	10	2007	25	6	9999	1	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	3	9999	9999	9999	9999	2	9999	1	9999	9999	9999	6	9999	27	402	4	0	1	0	0	280	0	1	0	0	0	0	0
87	1193547610	28	10	2007	26	49	9999	2	1	9999	9999	9999	9999	9999	9999	9999	1	9999	2	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	284	0	0	0	0	0	0	1
88	1193547610	28	10	2007	15	104	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	284	0	1	0	0	0	0	0
89	1193637610	29	10	2007	12	57	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	0	0	0	0	286	0	0	0	0	0	0	0
90	1193637610	29	10	2007	10	18	1	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	3	3	10	9999	0	0	0	0	286	0	0	0	0	0	0	1
91	1193724010	30	10	2007	20	59	12	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	2	3	9999	9999	9999	9999	9999	9999	9999	9999	3	9999	6	2	45	1097	3	0	1	0	0	287	0	0	0	0	0	0	1
92	1193810410	31	10	2007	2	4	14	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	3	1	9999	129	5	0	1	0	0	288	0	1	0	0	0	0	0
93	1194588010	9	11	2007	28	38	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	7	5	40	473	10	0	1	0	0	297	0	0	0	0	0	0	0
94	1194674410	10	11	2007	26	17	1	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	16	2	233	6646	1	0	1	0	0	298	0	1	0	0	0	0	0
95	1195192810	16	11	2007	10	34	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	9999	9999	9999	9999	9999	0	0	0	0	304	0	1	0	0	0	0	0
96	1195624810	21	11	2007	10	26	9999	1	9999	9999	9999	9999	9999	9999	9999	9999	1	9999	2	9999	9999	9999	9999	9999	9999	9999	9999	2	9999	9999	9999	9999	9999	9999	0	0	0	0	309	0	1	0	0	0	0	0
