"","muncode","year","name1","name2","lastn1","lastn2","party_mixed","fed_party"
"9534",20184,"2010","GUSTAVO","PACHECO","VILLASEÑOR"," CORTÉS","PRI",0
"9535",20184,"2011","JOSE","MANUEL","BARRERA","MOJICA","PRD",0
"9536",20184,"2012","JOSE","MANUEL","BARRERA","MOJICA","PRD",0
"9537",20184,"2013","JOSE","MANUEL","BARRERA","MOJICA","PRD",0
"9538",20185,"2006","CRISTINA","SOLIS","DIAZ"," RANGEL","PRD",0
"9539",20185,"2007","CRISTINA","SOLIS","DIAZ"," RANGEL","PRD",0
"9540",20185,"2008","LIBRADO","ARIAS","GALINDO"," RANGEL","PRD",0
"9541",20185,"2009","LIBRADO","ARIAS","GALINDO"," RANGEL","PRD",0
"9542",20185,"2010","LIBRADO","ARIAS","GALINDO"," RANGEL","PRD",0
"9543",20185,"2011","EDILBERTO","ROJAS","PEÑA","DELACRUZ","PRI",0
"9544",20185,"2012","EDILBERTO","ROJAS","PEÑA","DELACRUZ","PRI",0
"9545",20185,"2013","EDILBERTO","ROJAS","PEÑA","DELACRUZ","PRI",1
"9546",20186,"2006","PAULINO","OSORIO","AGUIRRE","LÓPEZ","UYC",0
"9547",20186,"2007","PAULINO","OSORIO","AGUIRRE","LÓPEZ","UYC",0
"9548",20186,"2008","LUIS","AGUSTINO","SALAZAR","SIERRA","UYC",0
